Address,Score,Strict Best Match TX With,Strict TX Match,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0x98561338da0d25826aa976e5c7c2c5455d9f184a,100,0xde6c755fb3a62ad19ec15f38d76490a5cd473385,27,83,false,Arbitrum,,2023-05-13 08:39:56.000,Aptos Bridge,BNB Chain,Harmony,2024-03-02 05:14:29.000,Harmony Bridge
0x01b8982cd001fa208213da263db6842d6dc7fdb0,50.00,0x9106cde2a6d640fd64c037d06fd6e9b76c0bcafa,29,69,false,Arbitrum,,2023-05-13 08:39:01.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 06:39:25.000,Harmony Bridge
0x028c0aa7c77b0238fe985de24f351ba48bc27722,24.88,0x495643067d23494ad84410769b7490623238fea3,26,91,false,Arbitrum,,2023-05-13 09:09:43.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 07:36:02.000,Harmony Bridge
0x02d941f4f74e850823706566c5335863d70dd079,23.43,0xe5045e11aa0f864098777f7ec3fd557c2da3ff91,18,116,false,Arbitrum,,2023-05-13 08:13:27.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 09:55:53.000,Harmony Bridge
0x0604e29604008679d9dcacd2757a3e32515611dd,18.64,0x0cab16d492758c9e6bb8cdd700afd7d2fdf8c172,33,88,false,Arbitrum,,2023-05-13 09:14:14.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 09:48:44.000,Harmony Bridge
0x068083ab11ee7af53e16b40b87ccdd65c45e597d,32.26,0x41f281ed9892a04dd0b209c9a289e177199fb8c7,32,89,false,Arbitrum,,2023-05-13 09:23:43.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 10:28:06.000,Harmony Bridge
0x07e65b04afb908becb6a2937b7d2d7a99312b399,14.04,0x4b6670c4a11842f06b377861c7375d9e21544cb2,17,84,false,Arbitrum,,2023-05-13 09:06:28.000,Aptos Bridge,BNB Chain,Harmony,2024-03-02 18:21:31.000,Harmony Bridge
0x0b778606749d64b02555db28c3945967ee98467f,26.45,0xe9b788bebc2f1cf68fd247a0998146ab216bfa1d,26,83,false,Arbitrum,,2023-05-13 09:29:47.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 14:06:51.000,Harmony Bridge
0x0c5c1f2c471bd4f959352d1e9e92fc0f55618175,45.63,0xffa5b5bc74115fda12315cf6e5e21ef58d94e88b,21,81,false,Arbitrum,,2023-05-13 08:23:54.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 12:03:59.000,Harmony Bridge
0x0cab16d492758c9e6bb8cdd700afd7d2fdf8c172,17.02,0x0604e29604008679d9dcacd2757a3e32515611dd,33,100,false,Arbitrum,,2023-05-13 09:10:24.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 08:41:44.000,Harmony Bridge
0x0d6c5f3a1ed8766457301eb74cdf3831b361eb64,18.67,0xf304d10c67bc8ce8e3df555cb3625c9b09ee90cb,31,95,false,Arbitrum,,2023-05-13 09:30:20.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 09:24:24.000,Harmony Bridge
0x0dcf737035d700c5285acd3a70fe6ccf9585cb23,18.64,0x4a3011e82fa10b03efedd88532236bc8da017219,31,91,false,Arbitrum,,2023-05-13 09:13:21.000,Aptos Bridge,BNB Chain,Harmony,2024-03-02 20:51:08.000,Harmony Bridge
0x0e2003448c66866be1292fad706924bb2f36c4b3,13.98,0xed25c99a04a5e1e398003709476481f5b9d60e1c,13,53,false,Arbitrum,,2023-05-13 08:26:14.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 14:09:18.000,Harmony Bridge
0x0ea577ef973a99f033819439581844315028be54,18.92,0x57ea1ec73cd71539feecb70e84a9b7129dc64269,29,132,false,Arbitrum,,2023-05-13 08:31:35.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 12:59:20.000,Harmony Bridge
0x0f82e2538d4b7ca894a69343dbb65bf96d1d4284,18.77,0x0b778606749d64b02555db28c3945967ee98467f,16,80,false,Arbitrum,,2023-05-13 09:25:40.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 15:08:59.000,Harmony Bridge
0x0fb58692bceff407e9cfa9b7bfddeb219349837a,51.57,0x8e418e9d8295ec7aa9fe271b777672b89319f966,29,91,false,Arbitrum,,2023-05-13 08:33:52.000,Aptos Bridge,BNB Chain,Harmony,2024-03-02 07:19:04.000,Harmony Bridge
0x0fc2a45ec9d75796e14c6f68f5f6f64e26f3c5c5,42.20,0x623e2b539379b0a80795fbdc91d59cadce31db8c,39,154,false,Arbitrum,,2023-05-13 08:33:28.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 08:57:09.000,Harmony Bridge
0x114e97afb37252e3276a8fad317fc82433a3771a,51.23,0xfd087557a08387320bfa0882f501c69ca06f0c88,57,136,false,Arbitrum,,2023-05-13 07:52:22.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 11:21:24.000,Harmony Bridge
0x11764f086fbe97f76b4201b32aba6dab4897df16,52.38,0xbff3ec5a3b25cc1553e88a2ea54a57e5dea9d54f,30,80,false,Arbitrum,,2023-05-13 08:02:42.000,Aptos Bridge,BNB Chain,Harmony,2024-03-03 04:58:07.000,Harmony Bridge
0x11a4e9d1c74e15606f6c51c0f9826d4ccb82ad62,56.66,0x2d47a98762db98e0b3e4fb833edf9c189e8cf569,37,89,false,Arbitrum,,2023-05-13 08:37:16.000,Aptos Bridge,BNB Chain,Harmony,2024-03-02 07:24:43.000,Harmony Bridge
