User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0x01b8982cd001fa208213da263db6842d6dc7fdb0,69,1.04,4622.69,11 | 13 | 8,11 | 6 | 4,2023-05-13,2024-03-03,false
0x028c0aa7c77b0238fe985de24f351ba48bc27722,91,1.26,425.09,13 | 14 | 8,16 | 9 | 5,2023-05-13,2024-03-03,false
0x02d941f4f74e850823706566c5335863d70dd079,116,1.35,1017.02,12 | 17 | 9,19 | 11 | 5,2023-05-13,2024-03-03,false
0x0604e29604008679d9dcacd2757a3e32515611dd,88,1.14,1015.62,12 | 13 | 9,16 | 9 | 5,2023-05-13,2024-03-03,false
0x068083ab11ee7af53e16b40b87ccdd65c45e597d,89,0.94,1044.85,12 | 17 | 9,15 | 8 | 5,2023-05-13,2024-03-03,false
0x07e65b04afb908becb6a2937b7d2d7a99312b399,84,1.12,972.46,12 | 15 | 8,17 | 8 | 5,2023-05-13,2024-03-02,false
0x0b778606749d64b02555db28c3945967ee98467f,83,1.35,1371.15,12 | 15 | 8,16 | 8 | 5,2023-05-13,2024-03-03,false
0x0c5c1f2c471bd4f959352d1e9e92fc0f55618175,81,1.04,3117.86,11 | 14 | 8,20 | 10 | 5,2023-05-13,2024-03-03,false
0x0cab16d492758c9e6bb8cdd700afd7d2fdf8c172,100,0.96,975.74,12 | 17 | 9,20 | 11 | 5,2023-05-13,2024-03-03,false
0x0d6c5f3a1ed8766457301eb74cdf3831b361eb64,95,1.21,1043.32,13 | 16 | 9,18 | 10 | 5,2023-05-13,2024-03-03,false
0x0dcf737035d700c5285acd3a70fe6ccf9585cb23,91,1.24,999.60,13 | 15 | 9,19 | 10 | 5,2023-05-13,2024-03-02,false
0x0e2003448c66866be1292fad706924bb2f36c4b3,53,1.24,2428.42,11 | 15 | 7,14 | 9 | 5,2023-05-13,2024-03-03,false
0x0ea577ef973a99f033819439581844315028be54,132,1.40,2447.03,13 | 17 | 9,25 | 11 | 5,2023-05-13,2024-03-03,false
0x0f82e2538d4b7ca894a69343dbb65bf96d1d4284,80,1.38,1039.38,12 | 16 | 8,21 | 9 | 5,2023-05-13,2024-03-03,false
0x0fb58692bceff407e9cfa9b7bfddeb219349837a,91,1.12,2213.28,13 | 14 | 8,14 | 10 | 5,2023-05-13,2024-03-02,false
0x0fc2a45ec9d75796e14c6f68f5f6f64e26f3c5c5,154,1.07,4270.72,13 | 17 | 9,19 | 10 | 5,2023-05-13,2024-03-03,false
0x114e97afb37252e3276a8fad317fc82433a3771a,136,1.36,3041.40,13 | 15 | 9,19 | 12 | 5,2023-05-13,2024-03-03,false
0x11764f086fbe97f76b4201b32aba6dab4897df16,80,1.05,929.87,13 | 14 | 8,13 | 7 | 4,2023-05-13,2024-03-03,false
0x11a4e9d1c74e15606f6c51c0f9826d4ccb82ad62,89,1.17,2504.13,13 | 13 | 8,14 | 8 | 5,2023-05-13,2024-03-02,false
0x12a9f4792e47629b2cc41d947537c148edf4b83f,124,1.19,925.68,12 | 17 | 9,20 | 10 | 5,2023-05-13,2024-03-03,false
0x14d0cfde509eff7d4f8a57b016e0bb54f233191e,91,1.13,4454.86,12 | 13 | 8,15 | 8 | 4,2023-05-13,2024-03-03,false
0x14eeda644092b1ea87b8f19bc524b13f1d8afee1,129,1.52,1416.42,13 | 14 | 8,18 | 9 | 5,2023-05-13,2024-03-03,false
0x1622fbb8c2162100ea962f5b1450bc75ffdf0381,101,1.24,2159.61,12 | 16 | 9,19 | 11 | 5,2023-05-13,2024-03-03,false
0x17470418d465c6e90ead4527833b5d179b5d1d5f,89,1.10,1343.07,12 | 16 | 9,17 | 9 | 5,2023-05-13,2024-03-03,false
0x17c03690dc4d3241dd0d5bb3736709a4469fc3c0,78,1.15,1288.56,12 | 16 | 8,14 | 6 | 5,2023-05-13,2024-03-03,false
0x190f98e493caea27305de268f23174ab6a1eb3ce,73,0.82,1492.05,11 | 14 | 8,13 | 7 | 5,2023-05-13,2024-03-03,false
0x1a8d43813e3371f831fcc8d380dd840670683921,143,1.18,3495.61,13 | 17 | 9,20 | 10 | 5,2023-05-13,2024-03-03,false
0x1c87c350471b3925739b061916461c982576600b,102,1.38,972.07,12 | 15 | 9,21 | 12 | 5,2023-05-13,2024-03-03,false
0x1d7246dc0939e9b1a12fa6bd0cc927759110e25e,102,1.27,2180.36,13 | 16 | 9,19 | 11 | 5,2023-05-13,2024-03-03,false
0x1d9e72fb3b5409342be4cbe8e9a1ac3e4817c22e,141,1.17,2196.96,13 | 18 | 9,20 | 11 | 5,2023-05-13,2024-03-03,false
0x1ddce26b19847dfb404e5e95f5498deff235f6b2,93,1.31,681.16,13 | 16 | 9,14 | 8 | 5,2023-05-13,2024-03-03,false
0x1fc9e3b2a6dc317f0d58a753b2550d8e335552ea,146,1.19,3045.11,13 | 17 | 9,18 | 9 | 5,2023-05-13,2024-03-03,false
0x20223ce2dfa3991340973ba8b3c106990f64e12e,69,1.33,1026.09,12 | 13 | 7,15 | 11 | 5,2023-05-13,2024-03-03,false
0x20fea930a0ad2490f3565f773e0ecee634e8a5d1,80,0.99,3531.16,13 | 13 | 8,16 | 8 | 5,2023-05-13,2024-03-03,false
0x27878e7d40b608ccdecf501306cc33723545d674,88,0.94,1120.95,12 | 17 | 9,17 | 10 | 5,2023-05-13,2024-03-03,false
0x2a3b341af495f58aa4b8a7646e98546d62afd37b,72,1.03,1294.41,11 | 15 | 7,18 | 8 | 5,2023-05-13,2024-03-03,false
0x2abcb18062ba8c501c21501f2f79956c7bebcc76,85,1.11,1806.78,12 | 18 | 8,20 | 8 | 5,2023-05-13,2024-03-02,false
0x2b137b072c83c19daaef5f4008fd9f4e4d06ea27,122,1.24,1015.61,13 | 17 | 9,21 | 11 | 5,2023-05-13,2024-03-03,false
0x2cc35e24b4575a0fd40c0593202ae6694fa4350f,91,1.63,1023.98,13 | 15 | 8,14 | 10 | 5,2023-05-13,2024-03-02,false
0x2cc7ccf2a1ae5906a05898557c10be14290d50e5,65,1.20,452.34,12 | 14 | 7,14 | 9 | 5,2023-05-13,2024-03-03,false
0x2d47a98762db98e0b3e4fb833edf9c189e8cf569,100,1.01,4246.99,13 | 15 | 9,16 | 8 | 5,2023-05-13,2024-03-03,false
0x2d510c6307f3b4ebb1e2fe85ca7dc9b252ed3c50,104,1.35,1764.04,12 | 15 | 9,17 | 10 | 5,2023-05-13,2024-03-03,false
0x2e2d2909071bb07824a4be12a862e4d688f3ae7d,156,1.08,2477.98,12 | 18 | 9,21 | 10 | 5,2023-05-13,2024-03-03,false
0x2ec7e82aa2689db689fc62417691088e45328f5e,71,1.10,1344.59,12 | 16 | 8,16 | 10 | 5,2023-05-13,2024-03-03,false
0x2efced316070d47b44608a6de38c4ab4048bd78d,96,1.31,1550.06,13 | 16 | 9,17 | 9 | 5,2023-05-13,2024-03-03,false
0x2f6110a01a4890d92d80013bb6d47e76b45b5ddf,81,1.13,931.83,13 | 14 | 8,18 | 8 | 5,2023-05-13,2024-03-03,false
0x2f822afbef932823953797da5c9573fb2da81fd7,90,1.02,3100.88,13 | 14 | 8,17 | 7 | 5,2023-05-13,2024-03-03,false
0x303b4b3876620021fc34e43e5e3c2f67b3141adb,64,1.07,1123.14,11 | 15 | 8,18 | 8 | 4,2023-05-13,2024-03-03,false
0x30bedb63a7968b82c1355dc073e7aacbd51616a5,93,1.68,1124.39,12 | 17 | 8,21 | 10 | 5,2023-05-13,2024-03-03,false
0x31579c4d107829d91af9c2a5fc707c04fc833ae2,94,1.34,2216.21,13 | 13 | 8,19 | 9 | 5,2023-05-13,2024-03-02,false
0x31686689a34c8f4cb673be32b81d65c58c744237,91,1.27,1116.54,13 | 15 | 8,16 | 10 | 5,2023-05-13,2024-03-03,false
0x3466da099051c3cd1d9ee8654f586f90d684b8e0,89,1.18,3077.12,13 | 14 | 8,14 | 7 | 5,2023-05-13,2024-03-03,false
0x35193fdc77fa5cb36807637dc528c548b4048eaf,79,0.85,1019.52,12 | 14 | 8,14 | 8 | 5,2023-05-13,2024-03-03,false
0x35d3fda6a304b72e930b536001a06044f305793f,91,1.08,3392.46,13 | 14 | 8,15 | 6 | 5,2023-05-13,2024-03-02,false
0x365f3f96045bbaf54875111f86de998f093de2e6,107,1.37,1562.88,12 | 17 | 9,17 | 10 | 5,2023-05-13,2024-03-03,false
